gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.06248	0.17299
ENSG00000175197	0.0023	-0.00305
ENSG00000204469	0.49981	0.51665
ENSG00000101940	0.19025	0.23399
ENSG00000126458	0.63263	0.63015
ENSG00000105707	0.08679	0.08366
ENSG00000126368	0.13872	0.11978
ENSG00000183087	0.34801	0.34906
ENSG00000187193	0.17568	0.16515
ENSG00000160799	0.21735	0.28814
ENSG00000147251	0.26236	0.25828
ENSG00000163932	0.13666	0.13189
ENSG00000143545	0.47089	0.46744
ENSG00000197933	0.24512	0.24803
ENSG00000122257	0.57927	0.59603
ENSG00000136997	0.30474	0.33307
ENSG00000132323	0.45651	0.4529
ENSG00000102226	0.30298	0.2909
ENSG00000123358	-0.02389	0.00051
ENSG00000117318	0.15858	0.16193
ENSG00000027697	0.09946	0.08862
ENSG00000157873	0.08732	0.08211
ENSG00000125503	0.06904	0.09214
ENSG00000070047	0.33756	0.33875
ENSG00000174718	0.40373	0.41842
ENSG00000174938	0.18474	0.23874
ENSG00000116871	0.36993	0.39687
ENSG00000114315	0.16477	0.15896
ENSG00000008869	0.61407	0.61621
ENSG00000120129	0.40111	0.39375
ENSG00000156983	0.46714	0.4718
ENSG00000065154	0.21792	0.21041
ENSG00000008405	0.19855	0.19484
ENSG00000079432	0.29468	0.28276
ENSG00000125968	0.30168	0.30661
ENSG00000157613	0.28682	0.28437
ENSG00000168216	0.06284	0.10641
ENSG00000162736	0.22709	0.22294
ENSG00000172216	0.2992	0.29854
ENSG00000116266	0.14305	0.17215
ENSG00000196422	0.22144	0.25064
ENSG00000060069	0.33971	0.34654
ENSG00000177728	0.44193	0.4369
ENSG00000131669	0.24336	0.23021
ENSG00000115738	0.17798	0.21068
ENSG00000119139	0.15047	0.13794
ENSG00000169242	0.22697	0.2398
ENSG00000175130	0.46723	0.46573
ENSG00000072182	0.09951	0.12005
ENSG00000177303	0.22721	0.17862
ENSG00000100109	0.24581	0.29743
ENSG00000142655	0.38412	0.42852
ENSG00000083857	0.31374	0.3184
ENSG00000141582	0.29077	0.28821
ENSG00000126705	0.39178	0.39037
ENSG00000179431	0.3548	0.34864
ENSG00000120075	0.00881	0.01989
ENSG00000121104	0.36992	0.37999
ENSG00000168758	0.1562	0.16034
ENSG00000167716	0.07864	0.09976
ENSG00000160271	0.50062	0.51012
ENSG00000072071	0.3833	0.38878
ENSG00000152804	0.10873	0.17298
ENSG00000175556	-0.02314	0.01693
ENSG00000020256	0.14385	0.14011
ENSG00000165359	0.33358	0.35481
ENSG00000116580	0.5507	0.56776
ENSG00000198793	0.48492	0.49435
ENSG00000139182	0.191	0.26612
ENSG00000185236	0.22429	0.2204
ENSG00000115310	0.48017	0.47966
ENSG00000127870	0.12828	0.09925
ENSG00000128917	0.17608	0.18169
ENSG00000065526	0.6639	0.66225
ENSG00000130827	0.17223	0.35131
ENSG00000143862	0.1032	0.11969
ENSG00000106537	0.06932	0.09547
ENSG00000100906	0.0662	0.05356
ENSG00000101474	0.31866	0.31579
ENSG00000110514	0.50929	0.51942
ENSG00000147364	0.33795	0.33903
ENSG00000164695	0.09333	0.12593
ENSG00000175348	0.25679	0.26578
ENSG00000172071	0.19214	0.19403
ENSG00000052841	0.31322	0.38814
ENSG00000148296	0.41531	0.4109
ENSG00000188313	0.13831	0.13232
ENSG00000105856	0.11323	0.14477
ENSG00000102100	0.28272	0.27435
ENSG00000162909	0.4872	0.48678
ENSG00000043355	0.13502	0.15651
ENSG00000132002	0.2056	0.20448
ENSG00000103326	0.36548	0.34877
ENSG00000109099	0.40559	0.39998
ENSG00000092820	0.02423	0.13267
ENSG00000163162	0.07351	0.0825
ENSG00000119715	0.16247	0.15985
ENSG00000102804	0.12083	0.16525
ENSG00000112812	0.16015	0.16087
ENSG00000162298	0.09801	0.08035
ENSG00000134049	0.08856	0.08542
ENSG00000166831	0.1528	0.13077
ENSG00000101230	0.07334	0.04607
ENSG00000034053	0.06752	0.05159
ENSG00000117616	0.26804	0.38959
ENSG00000147050	0.39555	0.40256
ENSG00000104763	0.09741	0.0713
ENSG00000177606	0.33635	0.33155
ENSG00000120616	0.47427	0.49078
ENSG00000149177	0.2377	0.24088
ENSG00000182087	0.12331	0.15369
ENSG00000135269	0.12486	0.1287
ENSG00000123636	0.37837	0.45749
ENSG00000167110	0.31663	0.32773
ENSG00000108262	0.35153	0.36223
ENSG00000254087	0.14289	0.20521
ENSG00000125304	0.0124	0.08055
ENSG00000109046	0.16391	0.18994
ENSG00000050405	0.41323	0.41203
ENSG00000131435	0.3944	0.38489
ENSG00000146757	0.56229	0.5647
ENSG00000127561	0.01335	0.00901
ENSG00000120738	0.13008	0.12226
ENSG00000137509	0.3018	0.29766
ENSG00000112787	0.52974	0.53249
ENSG00000125170	-0.04872	0.01514
ENSG00000155090	0.08808	0.10772
ENSG00000172432	0.06862	0.05261
ENSG00000011566	0.08247	0.14411
ENSG00000113583	0.35878	0.35756
ENSG00000130821	0.23242	0.23464
ENSG00000144566	0.0358	0.06928
ENSG00000168575	0.19147	0.18573
ENSG00000001084	0.18292	0.18475
ENSG00000076706	0.25416	0.25586
ENSG00000158747	0.37888	0.37406
ENSG00000134363	0.35762	0.35514
ENSG00000196588	0.02355	0.09383
ENSG00000163875	0.5201	0.509
ENSG00000108557	0.25593	0.24102
ENSG00000171603	0.28792	0.2947
ENSG00000144579	0.22986	0.22409
ENSG00000100425	0.53888	0.53498
ENSG00000164251	0.21702	0.19723
ENSG00000130779	0.37221	0.37607
ENSG00000011304	0.46805	0.49864
ENSG00000134326	0.21297	0.19412
ENSG00000068885	0.25634	0.38008
ENSG00000163527	0.18099	0.17299
ENSG00000034677	0.08881	0.13308
ENSG00000101665	0.177	0.18617
ENSG00000181027	0.17619	0.17911
ENSG00000197081	0.18712	0.18416
ENSG00000102996	0.18394	0.17984
ENSG00000154080	0.09852	0.08341
ENSG00000111907	0.25459	0.24647
ENSG00000160014	0.17871	0.25276
ENSG00000009335	0.09486	0.09565
ENSG00000102554	0.16846	0.17146
ENSG00000196937	0.29771	0.29177
ENSG00000068078	-0.00337	0.03171
ENSG00000139292	0.17357	0.23399
ENSG00000131873	0.08103	0.09475
ENSG00000008130	0.41754	0.41542
ENSG00000159200	0.21832	0.21648
ENSG00000148400	0.07277	0.06612
ENSG00000196792	0.24071	0.25944
ENSG00000101150	0.25512	0.24966
ENSG00000156650	0.50039	0.50783
ENSG00000170448	0.43179	0.43785
ENSG00000131165	0.08336	0.08904
ENSG00000171867	0.49441	0.49391
ENSG00000164305	0.31805	0.3207
ENSG00000119541	0.32089	0.3184
ENSG00000143126	0.25666	0.268
ENSG00000240849	0.26241	0.25583
ENSG00000187164	0.19456	0.25266
ENSG00000085721	0.43303	0.44093
ENSG00000184916	0.22262	0.27729
ENSG00000012660	-0.02664	-0.00834
ENSG00000054598	0.21668	0.20293
ENSG00000135097	0.27257	0.29275
ENSG00000133872	0.03804	0.08736
ENSG00000198915	0.09465	0.08692
ENSG00000189067	0.27907	0.27581
ENSG00000198959	0.48048	0.48275
ENSG00000127948	0.21617	0.22278
ENSG00000164830	0.16954	0.19026
ENSG00000044574	0.38498	0.39036
ENSG00000165802	0.17032	0.17839
ENSG00000130449	0.06836	0.14374
ENSG00000161526	-0.00629	0.00892
ENSG00000154734	0.48036	0.4793
ENSG00000108639	0.00279	-0.00665
ENSG00000186834	0.10672	0.10804
ENSG00000162734	0.5036	0.52085
ENSG00000006453	0.21612	0.17766
ENSG00000115806	0.05091	0.07109
ENSG00000205213	0.19643	0.21379
ENSG00000038427	0.31949	0.31613
ENSG00000165355	0.28755	0.28578
ENSG00000184937	0.07197	0.09099
ENSG00000116731	0.48591	0.4801
ENSG00000112874	0.09097	0.24221
ENSG00000157240	0.17295	0.17073
ENSG00000198435	0.29658	0.30812
ENSG00000066629	0.18465	0.23348
ENSG00000173334	0.05978	0.06321
ENSG00000111737	0.09711	0.15308
ENSG00000136842	0.03137	0.09811
ENSG00000181751	0.0987	0.1353
ENSG00000198814	0.3543	0.35364
ENSG00000153339	0.44974	0.44841
ENSG00000112033	0.26393	0.26
ENSG00000141551	0.24181	0.29168
ENSG00000221978	0.31932	0.44699
ENSG00000129911	0.16056	0.2311
ENSG00000100241	0.30382	0.30482
ENSG00000158321	0.30674	0.33045
ENSG00000157404	0.08481	0.09658
ENSG00000004799	0.10648	0.10466
ENSG00000241839	0.17403	0.19322
ENSG00000108669	0.37825	0.3763
ENSG00000155760	0.36302	0.36067
ENSG00000130340	0.30228	0.29792
ENSG00000082074	-0.0226	-0.0285
ENSG00000091129	0.01658	0.09114
ENSG00000173064	0.57545	0.61404
ENSG00000110048	0.32215	0.31938
ENSG00000134755	0.19884	0.21191
ENSG00000046604	0.20218	0.19805
ENSG00000105976	0.3914	0.38227
ENSG00000130749	0.57037	0.56987
ENSG00000110075	0.45634	0.46234
ENSG00000181104	0.28533	0.27782
ENSG00000146830	0.52794	0.55016
ENSG00000125347	-0.12446	-0.08585
ENSG00000184384	0.23525	0.22514
ENSG00000134910	0.21924	0.22341
ENSG00000197037	0.36271	0.36053
ENSG00000140332	0.38411	0.39287
ENSG00000204519	0.50936	0.50821
ENSG00000121481	0.36349	0.37319
ENSG00000166454	0.23862	0.29633
ENSG00000101670	0.22491	0.2181
ENSG00000146083	0.49518	0.49911
ENSG00000130164	0.1818	0.20423
ENSG00000084676	0.47912	0.47947
ENSG00000184545	0.08734	0.17722
ENSG00000139718	0.52195	0.53612
ENSG00000119707	0.47702	0.51167
ENSG00000074755	0.3413	0.34434
ENSG00000157107	0.25174	0.28723
ENSG00000176597	0.15628	0.16084
ENSG00000105971	0.51881	0.51551
ENSG00000106078	0.14423	0.16903
ENSG00000011007	0.31019	0.323
ENSG00000155304	0.00891	0.019
ENSG00000185950	-0.06104	-0.0757
ENSG00000071564	0.48162	0.4731
ENSG00000163347	0.3627	0.35755
ENSG00000065809	0.18469	0.19469
ENSG00000069020	-0.01082	0.0992
ENSG00000122574	0.09938	0.10094
ENSG00000165915	0.45017	0.44672
ENSG00000121281	0.04898	0.04008
ENSG00000130224	0.02342	0.0393
ENSG00000005020	-0.04452	-0.02105
ENSG00000181744	0.17016	0.16741
ENSG00000106299	0.23218	0.24588
ENSG00000069424	0.34644	0.33338
ENSG00000183723	0.18768	0.24207
ENSG00000042429	0.36249	0.36044
ENSG00000142599	0.46043	0.45626
ENSG00000132294	0.16087	0.1568
ENSG00000158805	0.39942	0.42729
ENSG00000141644	0.33485	0.33089
ENSG00000143641	0.28821	0.31117
ENSG00000005339	0.47406	0.47953
ENSG00000118200	0.18163	0.22567
ENSG00000176490	0.07565	0.06369
ENSG00000182771	0.05877	0.0619
ENSG00000178538	0.16782	0.15669
ENSG00000168743	0.12174	0.17688
ENSG00000185551	0.34389	0.3419
ENSG00000005893	0.33664	0.33653
ENSG00000197122	0.25221	0.26586
ENSG00000143093	0.3979	0.39275
ENSG00000166086	0.07736	0.08997
ENSG00000110881	0.10833	0.11487
ENSG00000011275	0.08208	0.07827
ENSG00000116675	0.14517	0.14537
ENSG00000086062	0.42291	0.42088
ENSG00000183864	0.21749	0.20502
ENSG00000198363	0.4684	0.46396
ENSG00000143384	-0.01953	-0.0167
ENSG00000088256	0.27162	0.27632
ENSG00000140391	0.12136	0.11041
ENSG00000102158	0.2238	0.28579
ENSG00000166734	0.0768	0.15443
ENSG00000072786	0.1708	0.20242
ENSG00000183495	0.50493	0.50071
ENSG00000184602	0.26372	0.25577
ENSG00000084444	0.24568	0.24808
ENSG00000132824	0.25429	0.25917
ENSG00000140941	0.20223	0.19663
ENSG00000164402	0.14785	0.19301
ENSG00000204256	0.53755	0.53421
ENSG00000130559	0.47848	0.46678
ENSG00000164181	0.15378	0.15644
ENSG00000179152	0.21042	0.21224
ENSG00000086619	0.15417	0.15433
ENSG00000186111	0.01426	0.09925
ENSG00000106948	0.30239	0.30376
ENSG00000205339	0.18368	0.17495
ENSG00000135503	0.31073	0.35051
ENSG00000198142	0.1758	0.18042
ENSG00000151025	0.10868	0.14235
ENSG00000113916	-0.11857	-0.1316
ENSG00000122042	0.11356	0.12089
ENSG00000148719	0.06199	0.04214
ENSG00000129933	0.51552	0.51695
ENSG00000196743	0.15124	0.14251
ENSG00000162231	0.4645	0.47247
ENSG00000091009	0.44019	0.4479
ENSG00000106546	0.28389	0.28861
ENSG00000108946	-0.1135	-0.08461
ENSG00000131398	0.15915	0.17492
ENSG00000166471	0.21702	0.27044
ENSG00000128595	0.50266	0.50755
ENSG00000168421	0.40577	0.38712
ENSG00000205133	0.06682	0.13952
ENSG00000206560	0.14982	0.15935
ENSG00000008256	0.34556	0.34531
ENSG00000170242	0.18055	0.23484
ENSG00000117868	-0.04052	-0.05792
ENSG00000198561	0.27692	0.29586
ENSG00000140577	0.1704	0.17758
ENSG00000134287	0.11083	0.11351
ENSG00000142875	0.1118	0.10928
ENSG00000171988	0.38717	0.39711
ENSG00000153214	0.15514	0.1781
ENSG00000168461	0.36325	0.35434
ENSG00000170248	0.09803	0.10248
ENSG00000151553	0.0479	0.11981
ENSG00000095637	0.15442	0.16915
ENSG00000133657	-0.03196	-0.00801
ENSG00000065911	0.39424	0.40509
ENSG00000137075	0.56529	0.56345
ENSG00000157933	0.3067	0.30251
ENSG00000198399	0.47567	0.47777
ENSG00000138594	0.09992	0.08381
ENSG00000115993	0.0783	0.08769
ENSG00000166532	0.03001	0.02444
ENSG00000067369	0.29404	0.31173
ENSG00000146530	0.1489	0.17634
ENSG00000011523	0.54221	0.53835
ENSG00000071054	0.10539	0.13156
ENSG00000170348	0.13282	0.12638
ENSG00000178951	0.02529	0.02795
ENSG00000107929	0.39777	0.39254
ENSG00000179364	0.30368	0.3747
ENSG00000158470	0.18107	0.16063
ENSG00000151458	0.1132	0.16515
ENSG00000114554	0.27459	0.27981
ENSG00000124151	0.023	0.0073
ENSG00000025039	0.29965	0.29994
ENSG00000162367	0.21993	0.2202
ENSG00000102471	0.16474	0.15797
ENSG00000180530	-0.01454	0.01707
ENSG00000117020	-0.10163	-0.09167
ENSG00000151150	0.07323	0.14545
ENSG00000137942	0.35698	0.38282
ENSG00000096070	0.28158	0.28705
ENSG00000187109	0.24515	0.26891
ENSG00000131023	0.5065	0.50795
ENSG00000196227	0.44592	0.45191
ENSG00000170915	0.27037	0.26423
ENSG00000065613	0.02854	0.051
ENSG00000067082	0.32049	0.31562
ENSG00000121749	0.38761	0.41018
ENSG00000138448	0.488	0.48367
ENSG00000147454	-0.02168	-0.04089
ENSG00000136536	0.33043	0.34419
ENSG00000162337	0.19419	0.1982
ENSG00000131149	0.49653	0.51264
ENSG00000138593	-0.08959	0.1276
ENSG00000068305	0.22008	0.21636
ENSG00000204681	0.04321	0.18154
ENSG00000037749	0.04888	0.23738
ENSG00000116191	-0.02368	-0.00741
ENSG00000162512	0.37502	0.35777
ENSG00000145734	0.52674	0.56186
ENSG00000050820	0.44475	0.44332
ENSG00000187678	0.16263	0.17283
ENSG00000023909	0.19079	0.18088
ENSG00000178904	0.33323	0.37324
ENSG00000007168	0.13254	0.12484
ENSG00000183579	0.24344	0.24755
ENSG00000116017	0.31178	0.3048
ENSG00000038532	0.39391	0.39109
ENSG00000113580	0.22283	0.21675
ENSG00000116604	0.17584	0.18457
ENSG00000108510	0.53487	0.56885
ENSG00000163293	0.14844	0.14372
ENSG00000139826	0.28685	0.30747
ENSG00000101346	0.28662	0.28629
ENSG00000105939	0.19976	0.19572
ENSG00000196776	0.13952	0.1518
ENSG00000124486	0.23347	0.2684
ENSG00000173276	0.30004	0.32904
ENSG00000103111	0.34712	0.35011
ENSG00000110723	0.14177	0.15348
ENSG00000011201	0.11204	0.12809
ENSG00000077147	-0.00043	0.02005
ENSG00000163110	0.34788	0.3466
ENSG00000100697	0.49077	0.53837
ENSG00000165813	0.2253	0.29617
ENSG00000156675	0.12958	0.07244
ENSG00000029363	0.54494	0.55169
ENSG00000182957	0.2662	0.26575
ENSG00000197860	0.11455	0.10315
ENSG00000100154	0.09527	0.10951
ENSG00000160218	0.40976	0.40857
ENSG00000186591	0.25548	0.254
ENSG00000133985	0.12756	0.12559
ENSG00000078140	0.47678	0.47703
ENSG00000151692	0.28356	0.28382
ENSG00000136603	0.10209	0.21201
ENSG00000132359	0.22246	0.2198
ENSG00000080815	0.17664	0.23353
ENSG00000183508	0.19266	0.19439
ENSG00000134243	0.16865	0.15913
ENSG00000213853	0.12802	0.19835
ENSG00000114331	0.38939	0.40355
ENSG00000183943	0.48178	0.48108
ENSG00000089057	0.1627	0.13672
ENSG00000101152	0.03252	0.01717
ENSG00000111860	0.18233	0.17748
ENSG00000006468	-0.06157	0.00657
ENSG00000127329	0.20391	0.19749
ENSG00000116852	0.40555	0.40031
ENSG00000179454	0.39167	0.43983
ENSG00000164938	0.10983	0.14508
ENSG00000109118	0.56655	0.558
ENSG00000082258	0.55754	0.62412
ENSG00000132326	0.49034	0.49537
ENSG00000125827	0.17066	0.16832
ENSG00000025293	0.22832	0.22962
ENSG00000169641	0.34334	0.34695
ENSG00000117500	0.01345	0.00679
ENSG00000163577	0.30264	0.30499
ENSG00000122779	0.57799	0.5688
ENSG00000148358	0.31184	0.32923
ENSG00000174437	0.1508	0.16426
ENSG00000166900	0.09254	0.08522
ENSG00000108582	0.12239	0.11289
ENSG00000153936	0.36834	0.37071
ENSG00000165633	0.05519	0.09364
ENSG00000118217	-0.06929	-0.07968
ENSG00000071537	0.00902	0.06839
ENSG00000187134	0.22878	0.29077
ENSG00000048471	0.10756	0.09989
ENSG00000122068	0.25767	0.25834
ENSG00000152127	0.06039	-0.01505
ENSG00000113742	-0.00262	0.1056
ENSG00000187605	0.65538	0.65694
ENSG00000149289	0.13929	0.12688
