gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.06977	0.06178
ENSG00000175197	0.03086	0.0494
ENSG00000204469	0.27439	0.28358
ENSG00000101940	0.23895	0.25467
ENSG00000126458	0.54709	0.54799
ENSG00000105707	0.07394	0.07015
ENSG00000126368	0.16277	0.16117
ENSG00000183087	0.24027	0.2383
ENSG00000187193	0.10234	0.10536
ENSG00000160799	0.05106	0.04345
ENSG00000147251	0.18758	0.18448
ENSG00000163932	0.34132	0.3682
ENSG00000143545	0.47904	0.48177
ENSG00000197933	0.13341	0.12515
ENSG00000122257	0.45042	0.44963
ENSG00000136997	0.28254	0.2849
ENSG00000132323	0.13599	0.12408
ENSG00000102226	0.1813	0.17917
ENSG00000123358	0.00749	0.00779
ENSG00000117318	0.2067	0.20509
ENSG00000027697	0.08225	0.10799
ENSG00000157873	0.16751	0.16697
ENSG00000125503	0.11752	0.1071
ENSG00000070047	0.22316	0.2191
ENSG00000174718	0.41435	0.41023
ENSG00000174938	0.24698	0.2525
ENSG00000116871	0.52109	0.51801
ENSG00000114315	0.1359	0.1439
ENSG00000008869	0.5583	0.5683
ENSG00000120129	0.38643	0.38447
ENSG00000156983	0.21353	0.21414
ENSG00000065154	0.13827	0.14681
ENSG00000008405	0.3048	0.29998
ENSG00000079432	0.23146	0.24415
ENSG00000125968	0.4239	0.41974
ENSG00000157613	0.2684	0.26625
ENSG00000168216	0.20481	0.19762
ENSG00000162736	0.0893	0.09177
ENSG00000172216	0.27587	0.27248
ENSG00000116266	0.08318	0.11308
ENSG00000196422	0.21138	0.20651
ENSG00000060069	0.08582	0.08062
ENSG00000177728	0.23603	0.24724
ENSG00000131669	0.27095	0.26888
ENSG00000115738	0.19354	0.19668
ENSG00000119139	0.27061	0.31065
ENSG00000169242	0.09561	0.07634
ENSG00000175130	0.30922	0.29183
ENSG00000072182	0.13904	0.1719
ENSG00000177303	0.28548	0.27671
ENSG00000100109	0.14863	0.16092
ENSG00000142655	0.43934	0.43488
ENSG00000083857	0.29185	0.3057
ENSG00000141582	0.11228	0.13806
ENSG00000126705	0.47408	0.46602
ENSG00000179431	0.38377	0.37868
ENSG00000120075	0.00872	0.00091
ENSG00000121104	0.35455	0.35169
ENSG00000168758	0.16632	0.14992
ENSG00000167716	0.06237	0.05688
ENSG00000160271	0.32254	0.32561
ENSG00000072071	0.25414	0.2758
ENSG00000152804	0.06924	0.07464
ENSG00000175556	-0.01651	0.01322
ENSG00000020256	0.11655	0.13391
ENSG00000165359	0.21547	0.22397
ENSG00000116580	0.35388	0.37183
ENSG00000198793	0.32437	0.32383
ENSG00000139182	0.28678	0.2957
ENSG00000185236	0.23523	0.24376
ENSG00000115310	0.42616	0.43285
ENSG00000127870	0.13805	0.1867
ENSG00000128917	0.176	0.16431
ENSG00000065526	0.47812	0.48373
ENSG00000130827	0.28559	0.29889
ENSG00000143862	0.04827	0.05305
ENSG00000106537	-0.16176	-0.14785
ENSG00000100906	0.09727	0.08269
ENSG00000101474	0.30658	0.30527
ENSG00000110514	0.33655	0.33501
ENSG00000147364	0.28573	0.28988
ENSG00000164695	0.08591	0.09738
ENSG00000175348	0.28531	0.28429
ENSG00000172071	0.29984	0.28612
ENSG00000052841	0.11513	0.10351
ENSG00000148296	0.17923	0.17567
ENSG00000188313	0.10033	0.13769
ENSG00000105856	0.11948	0.12665
ENSG00000102100	0.24639	0.24359
ENSG00000162909	0.47412	0.48702
ENSG00000043355	0.13504	0.13637
ENSG00000132002	0.20816	0.22513
ENSG00000103326	0.11958	0.11299
ENSG00000109099	0.39289	0.39909
ENSG00000092820	0.1529	0.19097
ENSG00000163162	0.17759	0.20073
ENSG00000119715	0.19906	0.22182
ENSG00000102804	0.09898	0.09489
ENSG00000112812	0.21166	0.21419
ENSG00000162298	0.11248	0.10424
ENSG00000134049	0.19325	0.20193
ENSG00000166831	0.11069	0.11477
ENSG00000101230	0.00346	-0.00425
ENSG00000034053	0.04733	0.05449
ENSG00000117616	0.23339	0.24588
ENSG00000147050	0.34566	0.33653
ENSG00000104763	0.11793	0.11955
ENSG00000177606	0.38615	0.38142
ENSG00000120616	0.3801	0.38017
ENSG00000149177	0.23498	0.2557
ENSG00000182087	0.18928	0.2136
